%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.212500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21714240E+04   0.60308502E+02   0.14531227E+02   0.00000000E+00   0.00000000E+00   0.12551557E-05  -0.34220380E-06   0.47921062E-07   0.13992191E+02   0.48500000E-13
%
  0.215000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21714392E+04   0.60318802E+02   0.14531296E+02   0.00000000E+00   0.00000000E+00   0.12561961E-05  -0.34216115E-06   0.48085802E-07   0.13992344E+02   0.48500000E-13
%
  0.217500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21714543E+04   0.60328982E+02   0.14531365E+02   0.00000000E+00   0.00000000E+00   0.12571716E-05  -0.34210482E-06   0.48249350E-07   0.13992495E+02   0.48500000E-13
%
  0.220000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21714692E+04   0.60339045E+02   0.14531433E+02   0.00000000E+00   0.00000000E+00   0.12580831E-05  -0.34203508E-06   0.48411726E-07   0.13992644E+02   0.48500000E-13
%
  0.222500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21714840E+04   0.60348992E+02   0.14531500E+02   0.00000000E+00   0.00000000E+00   0.12589317E-05  -0.34195222E-06   0.48572954E-07   0.13992791E+02   0.48500000E-13
%
  0.225000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21714985E+04   0.60358823E+02   0.14531567E+02   0.00000000E+00   0.00000000E+00   0.12597185E-05  -0.34185652E-06   0.48733054E-07   0.13992937E+02   0.48500000E-13
%
  0.227500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21715129E+04   0.60368542E+02   0.14531632E+02   0.00000000E+00   0.00000000E+00   0.12604443E-05  -0.34174821E-06   0.48892049E-07   0.13993080E+02   0.48500000E-13
%
